id,user_id,details,tag1,tag2,tag3,tag4,tag5,level,type
145,65,Cooking,3,14,,,,2,2
146,20,Assemble,2,11,41,,,3,2
147,38,Swing volley,9,35,,,,2,2
148,98,Travel,5,22,,,,2,2
149,6,Virus,2,13,46,,,3,2
150,64,Swing volley,9,35,,,,2,1
151,63,Front-end,2,12,43,,,3,2
152,51,Sport,1,,,,,1,1
153,75,Create,2,11,40,,,3,2
154,39,Backhand,9,34,,,,2,0
155,82,Homerun,1,6,25,,,3,1
156,11,Data mining,2,10,37,,,3,0
157,35,DNA,2,13,47,,,3,0
158,93,Network,2,12,44,,,3,0
159,116,Diseases,2,13,45,,,3,2
160,12,Fitness and wellness,4,,,,,1,1
161,27,Cake,3,14,48,,,3,2
162,99,Cooking,3,14,,,,2,0
163,85,Spread offense,1,8,32,,,3,0
164,90,Bump and run coverage,1,8,31,,,3,1
165,62,Vehicle,5,23,,,,2,2
166,37,Meditation,4,17,,,,2,2
167,10,Fix,2,11,39,,,3,0
168,40,Yoga,4,19,,,,2,1
169,106,Decorating,3,15,,,,2,0
170,57,Backspin,9,33,,,,2,0
171,13,Fitness and wellness,4,,,,,1,1
172,26,Hobbies and activities,5,,,,,1,0
173,106,Ice cream,3,14,49,,,3,0
174,92,Swing volley,9,35,,,,2,2
175,14,Virus,2,13,46,,,3,2
176,34,Ice cream,3,15,52,,,3,2
177,112,Technology,2,,,,,1,0
178,28,Technology,2,,,,,1,0
179,123,Yoga,4,19,,,,2,2
180,111,Food,3,,,,,1,2
181,122,Ice cream,3,14,49,,,3,2
182,103,Spread offense,1,8,32,,,3,0
183,19,Create,2,11,40,,,3,1
184,21,Assemble,2,11,41,,,3,2
185,22,Biology,2,13,,,,2,2
186,49,Decorating,3,15,,,,2,2
187,68,Cake,3,14,48,,,3,2
188,10,Dessert,3,15,53,,,3,2
189,21,Sport,1,,,,,1,1
190,54,Biology,2,13,,,,2,0
191,72,Ice cream,3,14,49,,,3,1
192,67,Bodybuilding,4,16,,,,2,1
193,23,Pets,5,21,,,,2,0
194,113,Bodybuilding,4,16,,,,2,2
195,69,Diseases,2,13,45,,,3,0
196,8,Software,2,12,,,,2,1
197,11,Nutritions,4,18,,,,2,1
198,61,Vehicle,5,23,,,,2,0
199,53,Back-end,2,12,42,,,3,0
200,121,Slam dunk,1,7,29,,,3,0
201,3,Network,2,12,44,,,3,0
202,48,Hobbies and activities,5,,,,,1,0
203,81,Art and music,5,20,,,,2,0
204,19,Cooking,3,14,,,,2,1
205,119,Dessert,3,15,53,,,3,2
206,117,Backhand,9,34,,,,2,1
207,44,Software,2,12,,,,2,2
208,40,Bump and run coverage,1,8,31,,,3,1
209,71,Hardware,2,11,,,,2,2
210,94,Biology,2,13,,,,2,0
211,11,DNA,2,13,47,,,3,2
212,68,DNA,2,13,47,,,3,1
213,80,Cooking,3,14,,,,2,2
214,3,Line defense,1,7,28,,,3,0
215,100,Sport,1,,,,,1,2
216,51,Decorating,3,15,,,,2,2
217,80,Spread offense,1,8,32,,,3,0
218,68,Data mining,2,10,37,,,3,1
219,36,Homerun,1,6,25,,,3,0
220,123,Back-end,2,12,42,,,3,0
221,102,Network,2,12,44,,,3,2
222,106,Travel,5,22,,,,2,2
223,119,Baseketball,1,7,,,,2,1
224,91,Software,2,12,,,,2,0
225,118,Sport,1,,,,,1,2
226,23,Software,2,12,,,,2,2
227,32,Cake,3,15,51,,,3,2
228,62,Hardware,2,11,,,,2,2
229,76,Cake,3,15,51,,,3,2
230,118,Ice cream,3,14,49,,,3,1
231,118,Fix,2,11,39,,,3,2
232,103,Backhand,9,34,,,,2,2
233,44,Spread offense,1,8,32,,,3,0
234,17,Line defense,1,7,28,,,3,1
235,123,Off-tackle run,1,8,30,,,3,0
236,79,Software,2,12,,,,2,1
237,77,Spread offense,1,8,32,,,3,1
238,40,Food,3,,,,,1,2
239,16,Nutritions,4,18,,,,2,2
240,38,Sport,1,,,,,1,2
241,37,Create,2,11,40,,,3,0
242,94,Dessert,3,14,50,,,3,0
243,107,Cooking,3,14,,,,2,1
244,13,Machine learning,2,10,36,,,3,2
245,81,Bodybuilding,4,16,,,,2,0
246,100,Bodybuilding,4,16,,,,2,2
247,27,Fix,2,11,39,,,3,2
248,120,Decorating,3,15,,,,2,1
249,32,Cooking,3,14,,,,2,0
250,108,Fitness and wellness,4,,,,,1,0
251,3,Assemble,2,11,41,,,3,0
252,99,Food,3,,,,,1,2
253,103,Homerun,1,6,25,,,3,0
254,1,Virus,2,13,46,,,3,0
255,114,Virus,2,13,46,,,3,2
256,40,Computer Sciences,2,10,,,,2,0
257,81,Off-tackle run,1,8,30,,,3,0
258,90,Hit and run,1,6,24,,,3,1
259,67,Sport,1,,,,,1,2
260,48,Hobbies and activities,5,,,,,1,0
261,120,Fitness and wellness,4,,,,,1,0
262,103,Swing volley,9,35,,,,2,2
263,87,Machine learning,2,10,36,,,3,0
264,62,Security,2,10,38,,,3,1
265,88,Ice cream,3,15,52,,,3,2
266,18,Food,3,,,,,1,0
267,44,Baseketball,1,7,,,,2,0
268,88,Diseases,2,13,45,,,3,0
269,1,Spread offense,1,8,32,,,3,0
270,90,Travel,5,22,,,,2,1
271,58,Meditation,4,17,,,,2,1
272,17,Yoga,4,19,,,,2,1
273,34,Front-end,2,12,43,,,3,0
274,93,Ice cream,3,15,52,,,3,1
275,27,Security,2,10,38,,,3,1
276,30,Virus,2,13,46,,,3,2
277,20,Off-tackle run,1,8,30,,,3,0
278,109,Baseball,1,6,,,,2,1
279,59,Line defense,1,7,28,,,3,2
280,78,Back-end,2,12,42,,,3,0
281,46,Cake,3,14,48,,,3,0
282,88,Hobbies and activities,5,,,,,1,1
283,16,Network,2,12,44,,,3,2
284,16,Tennis,9,,,,,1,2
285,39,Hobbies and activities,5,,,,,1,1
286,11,Bodybuilding,4,16,,,,2,1
287,83,Software,2,12,,,,2,1
288,41,Software,2,12,,,,2,1
289,90,Pets,5,21,,,,2,1
290,71,Software,2,12,,,,2,0
291,9,Virus,2,13,46,,,3,0
292,74,Bump and run coverage,1,8,31,,,3,2
293,5,Hobbies and activities,5,,,,,1,1
294,92,Dribbling,1,7,27,,,3,0
295,23,Fix,2,11,39,,,3,1
296,97,Technology,2,,,,,1,2
297,90,Baseketball,1,7,,,,2,1
298,114,Off-tackle run,1,8,30,,,3,1
299,14,Data mining,2,10,37,,,3,0
300,68,Line defense,1,7,28,,,3,0
301,109,Hardware,2,11,,,,2,2
302,38,Back-end,2,12,42,,,3,2
303,123,Football,1,8,,,,2,0
304,82,Spread offense,1,8,32,,,3,1
305,73,Front-end,2,12,43,,,3,0
306,30,Cooking,3,14,,,,2,0
307,31,Fitness and wellness,4,,,,,1,1
308,118,Hardware,2,11,,,,2,1
309,99,Homerun,1,6,25,,,3,0
310,31,Dribbling,1,7,27,,,3,2
311,91,Baseketball,1,7,,,,2,0
312,91,Hobbies and activities,5,,,,,1,1
313,2,Baseball,1,6,,,,2,1
314,28,Pets,5,21,,,,2,2
315,30,Backhand,9,34,,,,2,0
316,89,Fix,2,11,39,,,3,2
317,44,Front-end,2,12,43,,,3,1
318,77,Fix,2,11,39,,,3,1
319,76,Pets,5,21,,,,2,2
320,111,Baseball,1,6,,,,2,1
321,5,Sport,1,,,,,1,2
322,97,Cake,3,15,51,,,3,0
323,49,Cake,3,15,51,,,3,2
324,49,Ice cream,3,15,52,,,3,2
325,90,Fix,2,11,39,,,3,2
326,63,Cake,3,15,51,,,3,1
327,64,Hit by pitch,1,6,26,,,3,1
328,28,Baseketball,1,7,,,,2,1
329,74,Sport,1,,,,,1,0
330,27,Art and music,5,20,,,,2,1
331,87,Nutritions,4,18,,,,2,0
332,47,Sport,1,,,,,1,0
333,30,Virus,2,13,46,,,3,0
334,87,Meditation,4,17,,,,2,1
335,10,Backhand,9,34,,,,2,0
336,37,Virus,2,13,46,,,3,1
337,106,Network,2,12,44,,,3,0
338,63,Travel,5,22,,,,2,2
339,22,Hobbies and activities,5,,,,,1,2
340,56,Baseketball,1,7,,,,2,0
341,117,Dribbling,1,7,27,,,3,0
342,20,Data mining,2,10,37,,,3,2
343,86,Diseases,2,13,45,,,3,2
344,78,Swing volley,9,35,,,,2,1
345,93,Hit and run,1,6,24,,,3,2
346,106,Tennis,9,,,,,1,2
347,113,Ice cream,3,14,49,,,3,1
348,103,Technology,2,,,,,1,1
349,111,Ice cream,3,15,52,,,3,0
350,75,Sport,1,,,,,1,1
351,31,Yoga,4,19,,,,2,1
352,79,Nutritions,4,18,,,,2,0
353,97,Dribbling,1,7,27,,,3,2
354,27,Baseketball,1,7,,,,2,0
355,121,Nutritions,4,18,,,,2,0
356,84,Fitness and wellness,4,,,,,1,0
357,69,Diseases,2,13,45,,,3,2
358,66,Data mining,2,10,37,,,3,1
359,70,Art and music,5,20,,,,2,1
360,32,Dribbling,1,7,27,,,3,2
361,70,Computer Sciences,2,10,,,,2,2
362,90,Security,2,10,38,,,3,1
363,64,Virus,2,13,46,,,3,0
364,113,Network,2,12,44,,,3,0
365,116,Homerun,1,6,25,,,3,2
366,12,Art and music,5,20,,,,2,1
367,42,Dessert,3,14,50,,,3,0
368,51,Vehicle,5,23,,,,2,0
369,105,Ice cream,3,15,52,,,3,2
370,36,Dessert,3,14,50,,,3,2
371,102,Front-end,2,12,43,,,3,0
372,23,Fitness and wellness,4,,,,,1,0
373,55,Slam dunk,1,7,29,,,3,0
374,86,Fix,2,11,39,,,3,1
375,45,Hobbies and activities,5,,,,,1,0
376,1,Security,2,10,38,,,3,1
377,64,Homerun,1,6,25,,,3,1
378,97,Fitness and wellness,4,,,,,1,0
379,103,Baseball,1,6,,,,2,1
380,118,Dessert,3,15,53,,,3,0
381,63,Line defense,1,7,28,,,3,2
382,44,Software,2,12,,,,2,1
383,82,Cake,3,15,51,,,3,2
384,29,Homerun,1,6,25,,,3,2
385,33,Baseball,1,6,,,,2,1
386,44,Yoga,4,19,,,,2,1
387,43,Pets,5,21,,,,2,2
388,75,Food,3,,,,,1,0
389,75,Sport,1,,,,,1,0
390,51,Off-tackle run,1,8,30,,,3,0
391,100,Football,1,8,,,,2,0
392,48,Computer Sciences,2,10,,,,2,2
393,106,Front-end,2,12,43,,,3,0
394,9,Technology,2,,,,,1,0
395,17,Homerun,1,6,25,,,3,0
396,62,Ice cream,3,14,49,,,3,0
397,96,Football,1,8,,,,2,2
398,30,Backhand,9,34,,,,2,2
399,33,Swing volley,9,35,,,,2,1
400,57,Data mining,2,10,37,,,3,0
401,72,Bump and run coverage,1,8,31,,,3,1
402,57,Homerun,1,6,25,,,3,2
403,48,Software,2,12,,,,2,0
404,119,Cake,3,15,51,,,3,1
405,48,Sport,1,,,,,1,0
406,122,Front-end,2,12,43,,,3,0
407,69,Cake,3,14,48,,,3,0
408,105,Football,1,8,,,,2,1
409,41,Back-end,2,12,42,,,3,0
410,1,Network,2,12,44,,,3,0
411,85,Hit and run,1,6,24,,,3,2
412,4,Football,1,8,,,,2,2
413,116,Swing volley,9,35,,,,2,1
414,39,Diseases,2,13,45,,,3,1
415,112,Baseketball,1,7,,,,2,0
416,63,DNA,2,13,47,,,3,1
417,45,Hobbies and activities,5,,,,,1,1
418,33,Cooking,3,14,,,,2,1
419,114,Bump and run coverage,1,8,31,,,3,2
420,94,Backspin,9,33,,,,2,0
421,31,Network,2,12,44,,,3,1
422,13,Sport,1,,,,,1,2
423,12,Pets,5,21,,,,2,1
424,55,Slam dunk,1,7,29,,,3,1
425,74,Bodybuilding,4,16,,,,2,1
426,124,Cake,3,15,51,,,3,0
427,74,Back-end,2,12,42,,,3,1
428,19,Computer Sciences,2,10,,,,2,0
429,78,Hit and run,1,6,24,,,3,2
430,124,Security,2,10,38,,,3,2
431,73,Pets,5,21,,,,2,0
432,16,Hit and run,1,6,24,,,3,2
433,30,Art and music,5,20,,,,2,2
434,67,Pets,5,21,,,,2,1
435,19,Off-tackle run,1,8,30,,,3,0
436,19,Baseball,1,6,,,,2,2
437,118,Pets,5,21,,,,2,1
438,31,Football,1,8,,,,2,2
439,80,Swing volley,9,35,,,,2,1
440,67,Homerun,1,6,25,,,3,2
441,118,Diseases,2,13,45,,,3,2
442,90,Baseketball,1,7,,,,2,2
443,52,Cake,3,14,48,,,3,1
444,102,Travel,5,22,,,,2,0
445,66,Dessert,3,15,53,,,3,0
446,25,Front-end,2,12,43,,,3,0
447,40,Network,2,12,44,,,3,1
448,6,Slam dunk,1,7,29,,,3,0
449,8,Homerun,1,6,25,,,3,0
450,123,Decorating,3,15,,,,2,2
451,37,Decorating,3,15,,,,2,2
452,67,Hit by pitch,1,6,26,,,3,0
453,53,Cake,3,15,51,,,3,2
454,117,Front-end,2,12,43,,,3,2
455,30,Homerun,1,6,25,,,3,1
456,50,Travel,5,22,,,,2,2
457,55,Software,2,12,,,,2,1
458,106,Slam dunk,1,7,29,,,3,0
459,13,DNA,2,13,47,,,3,2
460,41,Cooking,3,14,,,,2,1
461,30,Cooking,3,14,,,,2,0
462,104,Dribbling,1,7,27,,,3,2
463,83,Dessert,3,15,53,,,3,0
464,19,Hit by pitch,1,6,26,,,3,1
465,116,Nutritions,4,18,,,,2,1
466,12,Cooking,3,14,,,,2,2
467,24,Baseketball,1,7,,,,2,1
468,29,Decorating,3,15,,,,2,2
469,61,Biology,2,13,,,,2,0
470,88,Diseases,2,13,45,,,3,0
471,66,Machine learning,2,10,36,,,3,1
472,18,Swing volley,9,35,,,,2,0
473,119,Network,2,12,44,,,3,0
474,14,Biology,2,13,,,,2,1
475,68,Fix,2,11,39,,,3,2
476,89,Football,1,8,,,,2,0
477,68,Travel,5,22,,,,2,2
478,61,Data mining,2,10,37,,,3,0
479,73,Nutritions,4,18,,,,2,1
480,51,Data mining,2,10,37,,,3,1
481,96,Football,1,8,,,,2,1
482,76,Hardware,2,11,,,,2,1
483,21,Food,3,,,,,1,0
484,62,Dessert,3,15,53,,,3,0
485,31,Cake,3,15,51,,,3,2
486,97,Computer Sciences,2,10,,,,2,1
487,31,Tennis,9,,,,,1,1
488,52,Diseases,2,13,45,,,3,1
489,13,Create,2,11,40,,,3,0
490,121,Cake,3,14,48,,,3,2
491,56,Bump and run coverage,1,8,31,,,3,0
492,23,Biology,2,13,,,,2,1
493,52,Create,2,11,40,,,3,0
494,103,Bodybuilding,4,16,,,,2,0
495,4,Slam dunk,1,7,29,,,3,1
496,5,Dessert,3,15,53,,,3,1
497,91,Back-end,2,12,42,,,3,2
498,20,Diseases,2,13,45,,,3,0
499,10,Network,2,12,44,,,3,1
500,86,Hit by pitch,1,6,26,,,3,2
501,89,Ice cream,3,14,49,,,3,0
502,9,Meditation,4,17,,,,2,2
503,114,Meditation,4,17,,,,2,0
504,60,Cake,3,15,51,,,3,2
505,40,Biology,2,13,,,,2,2
506,55,Bodybuilding,4,16,,,,2,0
507,105,Baseball,1,6,,,,2,1
508,85,Backspin,9,33,,,,2,0
509,55,Hardware,2,11,,,,2,0
510,29,Fitness and wellness,4,,,,,1,1
511,103,Virus,2,13,46,,,3,1
512,53,Homerun,1,6,25,,,3,1
513,59,Machine learning,2,10,36,,,3,1
514,6,Software,2,12,,,,2,2
515,70,Decorating,3,15,,,,2,0
516,52,Computer Sciences,2,10,,,,2,0
517,2,Dessert,3,14,50,,,3,2
518,73,Art and music,5,20,,,,2,0
519,90,Hobbies and activities,5,,,,,1,1
520,24,Create,2,11,40,,,3,2
521,82,Machine learning,2,10,36,,,3,0
522,114,Cooking,3,14,,,,2,1
523,87,Tennis,9,,,,,1,1
524,67,Nutritions,4,18,,,,2,0
525,43,Hit by pitch,1,6,26,,,3,0
526,30,Fix,2,11,39,,,3,0
527,102,Ice cream,3,15,52,,,3,0
528,113,Homerun,1,6,25,,,3,2
529,26,Network,2,12,44,,,3,0
530,99,Homerun,1,6,25,,,3,0
531,52,Machine learning,2,10,36,,,3,1
532,53,Homerun,1,6,25,,,3,2
533,59,Spread offense,1,8,32,,,3,0
534,100,Baseball,1,6,,,,2,0
535,63,Baseketball,1,7,,,,2,1
536,8,Hobbies and activities,5,,,,,1,1
537,71,Virus,2,13,46,,,3,1
538,82,Off-tackle run,1,8,30,,,3,0
539,117,Football,1,8,,,,2,1
540,103,Cake,3,14,48,,,3,2
541,70,Meditation,4,17,,,,2,1
542,49,Ice cream,3,14,49,,,3,2
543,113,Spread offense,1,8,32,,,3,2
544,69,Assemble,2,11,41,,,3,0
545,101,Hit and run,1,6,24,,,3,2
546,23,Software,2,12,,,,2,2
547,5,Slam dunk,1,7,29,,,3,0
548,31,Slam dunk,1,7,29,,,3,0
549,54,Vehicle,5,23,,,,2,2
550,11,Ice cream,3,14,49,,,3,1
551,45,Dessert,3,15,53,,,3,2
552,65,Fitness and wellness,4,,,,,1,2
553,87,Bodybuilding,4,16,,,,2,0
554,122,Network,2,12,44,,,3,2
555,11,Data mining,2,10,37,,,3,1
556,124,Ice cream,3,14,49,,,3,0
557,20,Dessert,3,14,50,,,3,2
558,5,Front-end,2,12,43,,,3,1
559,79,Cake,3,14,48,,,3,1
560,75,Baseball,1,6,,,,2,0
561,69,Baseball,1,6,,,,2,0
562,110,Assemble,2,11,41,,,3,2
563,108,Homerun,1,6,25,,,3,2
564,57,Sport,1,,,,,1,1
565,40,Biology,2,13,,,,2,0
566,16,Baseketball,1,7,,,,2,0
567,31,Network,2,12,44,,,3,1
568,13,Bump and run coverage,1,8,31,,,3,1
569,57,Data mining,2,10,37,,,3,0
570,1,Swing volley,9,35,,,,2,0
571,78,DNA,2,13,47,,,3,0
572,78,Backspin,9,33,,,,2,0
573,14,Diseases,2,13,45,,,3,1
574,81,Dessert,3,15,53,,,3,0
575,49,Off-tackle run,1,8,30,,,3,2
576,32,Hardware,2,11,,,,2,0
577,69,Meditation,4,17,,,,2,2
578,13,Hardware,2,11,,,,2,2
579,65,Backspin,9,33,,,,2,0
580,107,Meditation,4,17,,,,2,2
581,54,Fitness and wellness,4,,,,,1,0
582,19,Create,2,11,40,,,3,1
583,34,Machine learning,2,10,36,,,3,2
584,2,Software,2,12,,,,2,0
585,23,Fitness and wellness,4,,,,,1,0
586,2,Assemble,2,11,41,,,3,0
587,111,Sport,1,,,,,1,1
588,68,DNA,2,13,47,,,3,1
589,56,Pets,5,21,,,,2,1
590,93,Dribbling,1,7,27,,,3,0
591,55,Bump and run coverage,1,8,31,,,3,2
592,92,Computer Sciences,2,10,,,,2,0
593,17,Vehicle,5,23,,,,2,0
594,107,Cake,3,14,48,,,3,2
595,85,Yoga,4,19,,,,2,0
596,117,Cake,3,15,51,,,3,2
597,19,Technology,2,,,,,1,2
598,52,Sport,1,,,,,1,2
599,77,Nutritions,4,18,,,,2,0
600,11,Off-tackle run,1,8,30,,,3,1
601,37,Ice cream,3,14,49,,,3,1
602,3,Pets,5,21,,,,2,0
603,77,Virus,2,13,46,,,3,0
604,123,Hobbies and activities,5,,,,,1,1
605,115,Baseketball,1,7,,,,2,1
606,118,Cooking,3,14,,,,2,1
607,79,Swing volley,9,35,,,,2,1
608,61,Ice cream,3,15,52,,,3,0
609,11,Food,3,,,,,1,2
610,62,Ice cream,3,15,52,,,3,0
611,53,Back-end,2,12,42,,,3,2
612,67,Football,1,8,,,,2,1
613,4,Technology,2,,,,,1,0
614,118,Swing volley,9,35,,,,2,2
615,57,Sport,1,,,,,1,0
616,103,Biology,2,13,,,,2,1
617,59,Spread offense,1,8,32,,,3,2
618,72,Sport,1,,,,,1,0
619,113,Network,2,12,44,,,3,1
620,71,Nutritions,4,18,,,,2,1
621,112,Hit and run,1,6,24,,,3,2
622,85,Nutritions,4,18,,,,2,1
623,24,Spread offense,1,8,32,,,3,0
624,82,Virus,2,13,46,,,3,0
625,123,DNA,2,13,47,,,3,1
626,99,Back-end,2,12,42,,,3,2
627,106,Bodybuilding,4,16,,,,2,0
628,72,Security,2,10,38,,,3,1
629,18,Hit and run,1,6,24,,,3,0
630,26,Dessert,3,15,53,,,3,0
631,48,Tennis,9,,,,,1,0
632,101,Virus,2,13,46,,,3,2
633,76,Create,2,11,40,,,3,0
634,96,Data mining,2,10,37,,,3,0
635,120,Dessert,3,15,53,,,3,1
636,72,Biology,2,13,,,,2,0
637,96,Data mining,2,10,37,,,3,1
638,93,Diseases,2,13,45,,,3,1
639,106,Ice cream,3,15,52,,,3,1
640,80,Slam dunk,1,7,29,,,3,2
641,108,Football,1,8,,,,2,1
642,17,Software,2,12,,,,2,0
643,67,Biology,2,13,,,,2,1
644,114,Vehicle,5,23,,,,2,0
645,29,Pets,5,21,,,,2,1
646,121,Vehicle,5,23,,,,2,2
647,75,Cooking,3,14,,,,2,0
648,67,Food,3,,,,,1,0
649,87,Sport,1,,,,,1,2
650,114,Bump and run coverage,1,8,31,,,3,2
651,124,Cake,3,14,48,,,3,2
652,23,Nutritions,4,18,,,,2,0
653,25,Hit and run,1,6,24,,,3,2
654,25,DNA,2,13,47,,,3,0
655,56,Tennis,9,,,,,1,1
656,98,Sport,1,,,,,1,2
657,20,Security,2,10,38,,,3,1
658,67,Software,2,12,,,,2,1
659,18,Spread offense,1,8,32,,,3,2
660,69,Football,1,8,,,,2,0
661,45,Data mining,2,10,37,,,3,1
662,60,Pets,5,21,,,,2,0
663,57,Software,2,12,,,,2,0
664,3,Homerun,1,6,25,,,3,1
665,51,Technology,2,,,,,1,1
666,80,Cake,3,15,51,,,3,0
667,31,Backspin,9,33,,,,2,0
668,122,Tennis,9,,,,,1,0
669,66,Meditation,4,17,,,,2,0
670,68,Art and music,5,20,,,,2,0
671,22,Machine learning,2,10,36,,,3,2
672,114,Front-end,2,12,43,,,3,1
673,10,Art and music,5,20,,,,2,2
674,58,Data mining,2,10,37,,,3,0
675,89,Cake,3,15,51,,,3,0
